,ses-017,ses-019,ses-037,ses-045,ses-054,ses-002,ses-063,ses-039,ses-046,ses-024,ses-035,ses-053,ses-097,ses-023,ses-012,ses-007,ses-056,ses-040,ses-066,ses-080,ses-084,ses-092,ses-102,ses-030,ses-013,ses-082,ses-069,ses-086,ses-089,ses-034,ses-088,ses-073,ses-049,ses-093,ses-076,ses-005,ses-072,ses-036,ses-047,ses-031,ses-098,ses-051,ses-081,ses-067,ses-010,ses-009,ses-027,ses-060,ses-091,ses-077,ses-041,ses-015,ses-026,ses-028,ses-103,ses-059,ses-061,ses-096,ses-032,ses-048,ses-014,ses-011,ses-085,ses-057,ses-055,ses-101,ses-079,ses-042,ses-094,ses-083,ses-104,ses-022,ses-020,ses-074,ses-065,ses-099,ses-003,ses-021,ses-038,ses-100,ses-058,ses-075,ses-070,ses-018,ses-095,ses-071,ses-078,ses-105,ses-025,ses-087,ses-016,ses-033,ses-062,ses-068,ses-050,ses-029,ses-008,ses-006,ses-043,ses-044,ses-064,ses-004
0,2144.7097,2515.75,2496.6921,2226.1887,2365.3225,2133.9841,2358.0312,2340.909,2252.9666,2436.1917,2429.6511,2278.0427,2957.6,2275.7903,405.87625,2055.2446,2303.5334,2216.5715,2512.2734,2504.7764,2513.9055,2337.035,2627.3616,2256.3826,2633.2632,2454.8184,2545.7988,2564.1782,2505.0505,1905.9409,2602.588,2460.4995,2207.0078,11.690605,2415.6733,1952.5951,2246.3086,2235.9,2262.2134,2035.107,2605.2607,2376.4055,2410.872,2471.1084,2156.9883,1993.0415,2437.9885,2450.9644,2410.7512,2308.7866,2276.5957,2450.6482,2366.8594,2430.6414,2872.5454,2327.6226,2376.5957,2839.817,2319.4343,2226.2463,2458.4216,2093.2336,2583.5999,2470.4695,2031.866,2908.9434,2424.2595,2371.9006,2829.2725,2447.993,2890.503,2211.9092,2438.6912,2419.276,2354.4875,2923.9326,2143.5889,2466.2312,2212.5115,2794.3926,2568.8752,2578.851,2562.9106,2134.6785,2818.9963,2468.8115,2395.2634,160.93927,2511.217,2545.8633,2374.907,1867.3278,2343.196,2534.4507,2200.5654,2225.5708,2084.775,2167.0327,2256.5264,2437.2695,2456.9868,2108.1318
1,2143.17,2518.4634,2498.6511,2225.6528,2367.7659,2135.201,2358.1748,2339.042,2251.6084,2435.6968,2429.9421,2276.4177,2957.5366,2273.0989,404.38687,2055.444,2307.7712,2215.2092,2511.1707,2504.4453,2509.7163,2336.743,2627.504,2253.1184,2629.0928,2452.2493,2546.843,2566.9707,2505.8801,1899.9263,2601.8901,2462.9695,2207.8506,11.692636,2412.4446,1955.2517,2245.9556,2233.7344,2261.1858,2036.0929,2605.2227,2376.3855,2410.5042,2469.2039,2160.5234,1992.6371,2436.7827,2450.1436,2410.563,2308.378,2275.2036,2449.88,2369.3906,2430.4236,2870.634,2329.7134,2374.4795,2837.393,2320.103,2227.9673,2459.0916,2091.915,2583.5312,2468.969,2035.043,2905.325,2425.1282,2376.7483,2829.7056,2453.6426,2890.5732,2211.374,2437.6228,2420.9546,2357.029,2929.9365,2141.5925,2465.3953,2210.3735,2790.7358,2571.4966,2578.8123,2564.9666,2135.2793,2821.277,2470.7197,2395.87,160.6976,2511.1672,2548.0225,2375.2725,1868.5659,2347.5835,2531.6729,2198.3408,2225.5415,2083.8599,2169.3916,2258.5703,2437.0876,2456.6726,2106.0725
2,2139.74,2519.647,2502.2336,2223.0564,2372.638,2136.3623,2361.699,2339.7844,2250.3218,2434.3022,2428.7043,2278.4617,2956.0542,2272.62,403.5555,2059.61,2310.6104,2214.2964,2512.3054,2501.1584,2509.3262,2335.363,2629.6235,2249.681,2629.848,2456.177,2544.996,2570.491,2504.3418,1900.2704,2600.449,2461.3003,2209.241,11.695526,2413.3074,1958.1469,2250.6194,2234.5496,2259.1504,2035.4261,2608.268,2376.3076,2410.4912,2466.135,2161.0984,1995.0417,2436.4382,2447.659,2408.7358,2309.7393,2272.665,2449.368,2369.5034,2432.088,2867.3264,2329.3958,2373.545,2833.8562,2322.23,2228.4136,2459.5317,2090.831,2585.8696,2464.6052,2035.1263,2905.4985,2430.405,2376.2874,2828.806,2455.2905,2891.9827,2210.5603,2433.4343,2419.8364,2361.688,2925.2698,2140.8162,2467.2793,2212.067,2787.6235,2570.8555,2578.5083,2564.9595,2133.1743,2823.8765,2469.4246,2394.913,160.64194,2510.114,2549.1387,2374.9358,1868.9692,2345.644,2532.575,2196.2073,2225.439,2082.8777,2174.152,2258.9375,2437.595,2454.1511,2107.796
3,2139.0164,2521.887,2508.3289,2222.568,2371.881,2140.4685,2361.3804,2339.72,2253.3281,2449.425,2428.1074,2277.559,2958.031,2272.223,404.21838,2061.0571,2312.0413,2213.7317,2512.914,2501.5483,2508.038,2333.686,2631.6375,2248.4346,2631.9465,2457.6824,2543.999,2570.0266,2505.7065,1900.9069,2598.0996,2460.997,2208.145,11.70303,2414.9348,1955.972,2252.9365,2235.3206,2256.8796,2038.3147,2607.323,2372.6516,2413.8767,2464.0247,2162.7766,1999.9508,2435.2583,2445.701,2406.0317,2308.2441,2271.5046,2451.5156,2371.8333,2430.2527,2870.5356,2327.3262,2371.3123,2827.9888,2322.4048,2226.4097,2461.9358,2089.4133,2583.803,2460.5542,2034.3291,2909.3584,2431.2737,2375.5076,2829.3823,2452.3655,2894.6267,2211.4224,2435.2278,2419.3506,2364.738,2923.3684,2142.4148,2465.656,2209.6567,2784.351,2569.5464,2578.8843,2563.1335,2134.9087,2824.4993,2465.3706,2392.6377,160.99326,2513.4211,2548.7778,2373.9941,1868.545,2344.339,2530.6782,2196.1907,2226.4258,2082.258,2177.9895,2259.685,2438.1973,2455.4749,2110.2505
4,2135.8306,2518.0896,2508.828,2224.5273,2370.617,2143.991,2361.7605,2338.341,2254.8748,2458.88,2426.0916,2278.5808,2956.777,2271.1423,402.8279,2060.3064,2311.7302,2213.954,2513.0273,2502.2043,2508.1968,2333.014,2625.955,2246.893,2629.952,2457.8955,2541.769,2567.312,2505.2507,1897.3138,2595.2568,2463.4966,2204.7527,11.704503,2415.0684,1952.4902,2251.901,2236.6396,2256.3972,2039.5273,2606.2332,2371.122,2415.159,2465.642,2160.6538,2003.5413,2437.1118,2443.351,2404.5505,2310.541,2271.7852,2455.424,2366.9443,2431.1577,2871.9785,2327.198,2367.6213,2824.4663,2320.4954,2223.7656,2462.431,2087.55,2580.968,2461.3386,2031.8729,2914.5227,2431.3884,2372.424,2831.429,2448.9297,2891.5837,2211.4011,2435.8582,2420.6553,2362.5588,2921.8152,2141.8777,2468.6746,2212.0264,2782.3691,2567.7263,2578.192,2563.4673,2135.9666,2823.1106,2464.5984,2394.6714,161.17282,2515.8838,2545.8035,2371.802,1866.9858,2342.8113,2529.6318,2194.858,2224.8586,2082.4895,2179.9314,2259.414,2437.3394,2455.8572,2113.9177
5,2137.2153,2520.623,2504.9192,2225.4814,2367.5898,2146.5107,2362.252,2337.0188,2253.4695,2453.4849,2423.9065,2278.9744,2957.3452,2272.0361,402.38205,2057.5798,2309.8967,2216.6094,2510.7136,2500.8423,2509.6418,2335.1965,2630.9067,2249.9377,2629.0881,2458.768,2537.904,2564.188,2504.382,1896.583,2597.017,2462.0264,2202.7656,11.707364,2415.6511,1950.1,2250.5618,2234.1946,2258.3914,2038.1786,2606.3857,2369.9583,2417.1958,2468.6812,2157.5547,2006.5746,2438.0786,2445.2056,2405.4885,2308.3093,2273.4792,2453.3726,2367.5007,2431.384,2870.8132,2325.7769,2366.8623,2825.0774,2320.8044,2222.7231,2465.3762,2089.1702,2579.4788,2462.3953,2031.0927,2915.177,2430.699,2368.3918,2835.4482,2446.0364,2892.7249,2211.7,2437.4739,2420.498,2363.3354,2918.9946,2142.845,2469.015,2213.831,2778.3853,2565.3274,2575.8413,2562.2214,2135.003,2823.7458,2468.0366,2393.817,161.09483,2512.4648,2543.418,2370.9453,1865.2743,2342.5986,2529.4512,2195.434,2224.166,2082.896,2178.2063,2257.1736,2435.804,2457.7466,2112.3696
6,2139.116,2519.698,2501.5483,2226.04,2365.0166,2145.6619,2361.4636,2335.2976,2250.5935,2453.8062,2422.7449,2278.662,2957.9426,2267.8213,401.94748,2057.787,2311.2246,2214.1584,2510.4966,2500.0667,2510.7058,2338.249,2630.294,2247.008,2628.0005,2456.6003,2539.3113,2560.5415,2502.0354,1896.31,2596.491,2463.6853,2202.1406,11.705143,2417.8027,1948.3909,2248.8164,2235.9587,2258.7334,2038.4331,2609.698,2375.813,2419.0166,2470.8235,2155.4275,2005.8599,2440.7893,2448.6995,2404.4917,2305.644,2274.7085,2455.9287,2366.284,2430.855,2871.099,2327.1943,2366.58,2826.7512,2319.5044,2223.994,2471.2996,2091.899,2577.9773,2462.844,2031.2717,2915.9517,2428.3157,2366.1086,2833.401,2442.7542,2892.2222,2212.79,2440.9678,2422.2798,2361.519,2916.934,2142.6384,2466.225,2219.076,2780.345,2565.8804,2577.8125,2562.0083,2134.286,2824.3438,2466.6694,2393.6865,160.91522,2511.4585,2542.912,2370.6465,1866.3821,2342.3816,2531.4949,2192.5608,2224.0242,2083.5051,2178.0193,2254.877,2433.0908,2457.591,2110.2249
7,2140.5652,2519.3662,2498.5186,2226.5708,2362.8481,2143.2905,2361.201,2333.775,2248.5696,2457.5015,2421.4722,2276.783,2959.871,2266.3208,401.93668,2056.0312,2313.1807,2214.817,2511.5671,2499.2234,2509.918,2337.933,2628.7434,2246.2563,2627.4805,2454.9443,2541.787,2555.7336,2501.5632,1893.319,2596.0457,2463.496,2201.6401,11.707443,2418.9536,1947.3164,2246.4204,2234.4297,2256.4238,2036.9424,2606.5125,2375.794,2417.9167,2472.3608,2154.8215,2003.053,2439.5806,2447.8125,2404.1047,2306.7397,2276.7388,2457.6301,2364.829,2431.2249,2871.9614,2328.9045,2366.87,2826.246,2322.6277,2223.4897,2472.7903,2091.0325,2576.3147,2462.9229,2033.0653,2914.7832,2426.178,2364.7456,2833.679,2443.5217,2890.6768,2211.9104,2443.5452,2418.7222,2360.0713,2914.9678,2138.8906,2464.6152,2225.059,2779.2397,2568.683,2578.628,2564.7659,2137.498,2827.3445,2469.1025,2392.1072,160.86183,2510.6035,2540.2913,2373.435,1867.0516,2343.174,2530.9324,2191.4563,2224.0679,2085.342,2178.129,2251.8362,2430.538,2456.2952,2109.5664
8,2143.702,2518.9712,2497.498,2224.1064,2363.07,2142.6667,2359.8965,2333.2456,2250.0125,2442.2168,2418.9119,2279.2505,2955.5317,2266.4126,403.80475,2057.3794,2312.514,2214.8193,2512.0413,2498.117,2509.9478,2336.0886,2629.8176,2245.2212,2623.3235,2453.4707,2541.5408,2554.112,2502.9038,1892.038,2597.8716,2461.2273,2202.6387,11.705591,2422.1428,1949.4651,2245.4133,2233.682,2254.882,2036.6646,2608.393,2372.8,2414.3901,2470.3416,2157.145,2002.0167,2439.6648,2447.4814,2403.5352,2307.536,2280.3625,2456.1917,2363.5579,2432.3716,2868.0737,2328.536,2367.8296,2827.8713,2324.9204,2227.1309,2471.408,2091.3245,2578.0852,2462.306,2033.638,2911.865,2425.4941,2364.1758,2831.8547,2446.9883,2891.4536,2210.493,2440.7278,2418.261,2360.2068,2917.2124,2138.332,2463.6953,2225.167,2781.943,2568.683,2578.063,2565.1282,2136.7217,2825.9548,2467.5278,2390.7178,161.15837,2511.936,2539.06,2373.6843,1867.082,2344.2832,2528.3843,2189.9285,2221.491,2088.3992,2179.2065,2252.2493,2428.694,2453.1184,2107.8633
9,2183.101,2521.1052,2495.9363,2225.815,2362.2573,2145.2617,2361.2854,2333.2285,2263.787,2431.259,2420.1372,2280.004,2956.0488,2266.922,402.69852,2058.0913,2315.1028,2216.9033,2513.1306,2498.323,2508.1313,2335.1008,2624.473,2247.333,2627.541,2451.144,2542.3967,2556.9128,2504.4026,1894.1807,2595.3464,2457.8948,2200.3198,11.691496,2421.8357,1952.5376,2243.63,2233.1794,2255.2312,2037.1272,2605.5398,2372.787,2413.7354,2467.7097,2155.042,2003.3801,2438.0598,2446.6938,2403.449,2324.5312,2283.5215,2458.1174,2364.149,2452.8936,2866.4854,2329.4553,2368.5186,2830.1355,2324.2695,2229.418,2466.1333,2091.8718,2583.0144,2461.4302,2034.5662,2913.6843,2426.7744,2364.5823,2828.992,2447.374,2895.8354,2209.0613,2439.9546,2417.554,2361.921,2916.1787,2138.1978,2467.5776,2222.4338,2787.5718,2569.0886,2579.1958,2562.6147,2137.7332,2820.4683,2469.1985,2388.6572,161.03961,2511.1675,2537.1665,2376.088,1867.3562,2344.4504,2527.1094,2188.5085,2221.4753,2089.2217,2181.173,2253.2864,2436.9753,2451.176,2108.3713
